年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
114-2,星期四,13,13:00~14:00,55.98166666666666,10.434,45.547666666666665
114-2,星期四,14,14:00~15:00,64.41000000000001,9.276,55.134000000000015
114-2,星期四,15,15:00~16:00,59.51500000000001,9.11,50.40500000000001
114-2,星期四,16,16:00~17:00,73.46714285714286,9.2,64.26714285714286
114-2,星期四,17,17:00~18:00,36.92166666666666,8.795,28.126666666666658
114-2,星期五,7,07:00~08:00,10.515,10.065714285714288,0.44928571428571296
114-2,星期五,8,08:00~09:00,36.02714285714286,9.627142857142855,26.400000000000006
114-2,星期五,9,09:00~10:00,52.05,10.578571428571433,41.47142857142856
114-2,星期五,10,10:00~11:00,58.611428571428576,10.781666666666666,47.82976190476191
114-2,星期五,11,11:00~12:00,57.19714285714285,16.774285714285718,40.42285714285713
114-2,星期五,12,12:00~13:00,51.78142857142858,13.773333333333335,38.008095238095244
114-2,星期五,13,13:00~14:00,45.14428571428572,10.434,34.710285714285725
114-2,星期五,14,14:00~15:00,49.12285714285714,9.276,39.84685714285715
114-2,星期五,15,15:00~16:00,53.68142857142857,9.11,44.57142857142857
114-2,星期五,16,16:00~17:00,48.86285714285714,9.2,39.662857142857135
114-2,星期五,17,17:00~18:00,25.034285714285712,8.795,16.239285714285714
