年度學期,星期,小時,時間區間,平均功率_kW
114-1,星期二,23,23:00~24:00,54.522
114-1,星期三,0,00:00~01:00,49.22999999999999
114-1,星期三,1,01:00~02:00,47.27571428571428
114-1,星期三,2,02:00~03:00,45.345000000000006
114-1,星期三,3,03:00~04:00,43.63357142857143
114-1,星期三,4,04:00~05:00,47.144615384615385
114-1,星期三,5,05:00~06:00,46.114615384615384
114-1,星期三,6,06:00~07:00,42.743571428571435
114-1,星期三,7,07:00~08:00,85.02571428571427
114-1,星期三,8,08:00~09:00,142.82857142857145
114-1,星期三,9,09:00~10:00,219.752
114-1,星期三,10,10:00~11:00,263.48733333333337
114-1,星期三,11,11:00~12:00,275.48266666666666
114-1,星期三,12,12:00~13:00,266.63
114-1,星期三,13,13:00~14:00,229.974
114-1,星期三,14,14:00~15:00,249.13066666666663
114-1,星期三,15,15:00~16:00,269.34
114-1,星期三,16,16:00~17:00,264.31333333333333
114-1,星期三,17,17:00~18:00,246.55333333333337
114-1,星期三,18,18:00~19:00,173.55733333333333
114-1,星期三,19,19:00~20:00,124.714
114-1,星期三,20,20:00~21:00,114.56733333333332
114-1,星期三,21,21:00~22:00,94.85071428571429
114-1,星期三,22,22:00~23:00,59.02500000000001
114-1,星期三,23,23:00~24:00,51.61538461538461
114-1,星期四,0,00:00~01:00,46.942666666666675
114-1,星期四,1,01:00~02:00,46.685714285714276
114-1,星期四,2,02:00~03:00,44.544999999999995
114-1,星期四,3,03:00~04:00,44.42785714285714
114-1,星期四,4,04:00~05:00,47.18857142857143
114-1,星期四,5,05:00~06:00,46.51357142857143
114-1,星期四,6,06:00~07:00,45.1
114-1,星期四,7,07:00~08:00,86.62428571428573
114-1,星期四,8,08:00~09:00,138.4914285714286
114-1,星期四,9,09:00~10:00,205.52466666666666
114-1,星期四,10,10:00~11:00,256.8606666666667
114-1,星期四,11,11:00~12:00,263.0606666666667
114-1,星期四,12,12:00~13:00,270.49
114-1,星期四,13,13:00~14:00,226.05266666666674
114-1,星期四,14,14:00~15:00,241.446
114-1,星期四,15,15:00~16:00,269.1873333333334
114-1,星期四,16,16:00~17:00,263.27933333333334
114-1,星期四,17,17:00~18:00,226.83533333333338
114-1,星期四,18,18:00~19:00,185.03999999999996
114-1,星期四,19,19:00~20:00,144.68266666666668
114-1,星期四,20,20:00~21:00,131.9273333333333
114-1,星期四,21,21:00~22:00,116.11266666666668
114-1,星期四,22,22:00~23:00,61.519285714285715
114-1,星期四,23,23:00~24:00,55.30928571428571
114-1,星期五,0,00:00~01:00,50.13266666666667
114-1,星期五,1,01:00~02:00,47.47857142857142
114-1,星期五,2,02:00~03:00,47.109285714285704
114-1,星期五,3,03:00~04:00,45.653571428571425
114-1,星期五,4,04:00~05:00,47.59307692307693
114-1,星期五,5,05:00~06:00,46.17153846153846
114-1,星期五,6,06:00~07:00,45.38384615384616
114-1,星期五,7,07:00~08:00,78.2076923076923
114-1,星期五,8,08:00~09:00,124.28714285714285
114-1,星期五,9,09:00~10:00,168.0878571428571
114-1,星期五,10,10:00~11:00,198.87
114-1,星期五,11,11:00~12:00,207.85733333333334
114-1,星期五,12,12:00~13:00,217.13666666666668
114-1,星期五,13,13:00~14:00,194.83333333333334
114-1,星期五,14,14:00~15:00,230.43066666666667
114-1,星期五,15,15:00~16:00,220.8946666666666
114-1,星期五,16,16:00~17:00,200.8266666666667
