年度學期,星期,小時,時間區間,平均功率_kW
113-2,星期六,22,22:00~23:00,30.402857142857147
113-2,星期六,23,23:00~24:00,31.706153846153843
113-2,星期日,0,00:00~01:00,30.380000000000003
113-2,星期日,1,01:00~02:00,31.013571428571424
113-2,星期日,2,02:00~03:00,30.701428571428572
113-2,星期日,3,03:00~04:00,29.674615384615382
113-2,星期日,4,04:00~05:00,30.262142857142855
113-2,星期日,5,05:00~06:00,29.635384615384616
113-2,星期日,6,06:00~07:00,31.958461538461542
113-2,星期日,7,07:00~08:00,30.876923076923074
113-2,星期日,8,08:00~09:00,43.26307692307693
113-2,星期日,9,09:00~10:00,43.61538461538461
113-2,星期日,10,10:00~11:00,51.63714285714286
113-2,星期日,11,11:00~12:00,46.076153846153844
113-2,星期日,12,12:00~13:00,44.247692307692304
113-2,星期日,13,13:00~14:00,37.32692307692308
113-2,星期日,14,14:00~15:00,38.59153846153846
113-2,星期日,15,15:00~16:00,37.53615384615385
113-2,星期日,16,16:00~17:00,33.05230769230769
113-2,星期日,17,17:00~18:00,31.88769230769231
113-2,星期日,18,18:00~19:00,30.12076923076923
113-2,星期日,19,19:00~20:00,30.176923076923078
113-2,星期日,20,20:00~21:00,30.35
113-2,星期日,21,21:00~22:00,30.971428571428564
113-2,星期日,22,22:00~23:00,30.522857142857145
113-2,星期日,23,23:00~24:00,31.29928571428571
114-1,星期一,0,00:00~01:00,33.88142857142857
114-1,星期一,1,01:00~02:00,33.541428571428575
114-1,星期一,2,02:00~03:00,32.645
114-1,星期一,3,03:00~04:00,31.94642857142858
114-1,星期一,4,04:00~05:00,37.41857142857142
114-1,星期一,5,05:00~06:00,33.42714285714286
114-1,星期一,6,06:00~07:00,33.30214285714286
114-1,星期一,7,07:00~08:00,75.446
114-1,星期一,8,08:00~09:00,86.16399999999999
114-1,星期一,9,09:00~10:00,114.92533333333336
114-1,星期一,10,10:00~11:00,127.24733333333332
114-1,星期一,11,11:00~12:00,140.89333333333335
114-1,星期一,12,12:00~13:00,142.85199999999998
114-1,星期一,13,13:00~14:00,137.65666666666667
114-1,星期一,14,14:00~15:00,142.58666666666664
114-1,星期一,15,15:00~16:00,145.256
114-1,星期一,16,16:00~17:00,145.81666666666666
114-1,星期一,17,17:00~18:00,137.26733333333334
114-1,星期一,18,18:00~19:00,98.09533333333333
114-1,星期一,19,19:00~20:00,41.46571428571429
114-1,星期一,20,20:00~21:00,36.33714285714286
114-1,星期一,21,21:00~22:00,35.005333333333326
114-1,星期一,22,22:00~23:00,37.70142857142857
114-1,星期一,23,23:00~24:00,35.472857142857144
114-1,星期二,0,00:00~01:00,33.887857142857136
114-1,星期二,1,01:00~02:00,33.28785714285715
114-1,星期二,2,02:00~03:00,33.39928571428572
114-1,星期二,3,03:00~04:00,33.089333333333336
114-1,星期二,4,04:00~05:00,38.13733333333333
114-1,星期二,5,05:00~06:00,33.324666666666666
114-1,星期二,6,06:00~07:00,32.87499999999999
114-1,星期二,7,07:00~08:00,70.76666666666667
114-1,星期二,8,08:00~09:00,115.056
114-1,星期二,9,09:00~10:00,147.71866666666668
114-1,星期二,10,10:00~11:00,155.40266666666668
114-1,星期二,11,11:00~12:00,152.22333333333333
