年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
114-2,星期一,16,16:00~17:00,131.7975,70.84,60.95750000000001
114-2,星期一,17,17:00~18:00,116.49375,69.73125,46.7625
114-2,星期二,7,07:00~08:00,38.315,36.68375,1.6312499999999943
114-2,星期二,8,08:00~09:00,60.85375,67.39888888888888,-6.545138888888879
114-2,星期二,9,09:00~10:00,97.43444444444444,67.79666666666668,29.637777777777757
114-2,星期二,10,10:00~11:00,112.55444444444444,73.17375,39.380694444444444
114-2,星期二,11,11:00~12:00,119.3711111111111,66.9075,52.463611111111106
114-2,星期二,12,12:00~13:00,123.86666666666666,75.24125000000001,48.62541666666665
114-2,星期二,13,13:00~14:00,118.20666666666664,84.2425,33.96416666666663
114-2,星期二,14,14:00~15:00,131.18222222222224,80.36000000000001,50.82222222222222
114-2,星期二,15,15:00~16:00,128.35666666666668,74.36375,53.99291666666669
114-2,星期二,16,16:00~17:00,124.42555555555556,70.84,53.58555555555556
114-2,星期二,17,17:00~18:00,111.33333333333331,69.73125,41.60208333333331
114-2,星期三,7,07:00~08:00,37.37875,36.68375,0.6949999999999932
114-2,星期三,8,08:00~09:00,50.64,67.39888888888888,-16.758888888888876
114-2,星期三,9,09:00~10:00,79.61125000000001,67.79666666666668,11.814583333333331
114-2,星期三,10,10:00~11:00,98.4688888888889,73.17375,25.2951388888889
114-2,星期三,11,11:00~12:00,100.60666666666668,66.9075,33.699166666666684
114-2,星期三,12,12:00~13:00,102.89222222222222,75.24125000000001,27.650972222222208
114-2,星期三,13,13:00~14:00,106.5988888888889,84.2425,22.356388888888887
114-2,星期三,14,14:00~15:00,108.2725,80.36000000000001,27.91249999999998
114-2,星期三,15,15:00~16:00,116.5688888888889,74.36375,42.20513888888891
114-2,星期三,16,16:00~17:00,115.42666666666666,70.84,44.58666666666666
114-2,星期三,17,17:00~18:00,104.86555555555556,69.73125,35.13430555555556
114-2,星期四,7,07:00~08:00,37.8111111111111,36.68375,1.1273611111110995
114-2,星期四,8,08:00~09:00,60.12222222222223,67.39888888888888,-7.2766666666666495
114-2,星期四,9,09:00~10:00,80.29666666666668,67.79666666666668,12.5
114-2,星期四,10,10:00~11:00,106.97888888888887,73.17375,33.80513888888888
114-2,星期四,11,11:00~12:00,125.67666666666666,66.9075,58.76916666666666
